"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","IgG_TC","IgPlateRef","RTL","qPCRPlate","qPCRRow","Survival","Strongyles"
5636,"Males",2003,4,"Adults",2007,0.63898,45,1.92677150490412,3,"B",1,100
4418,"Males",2000,1,"Adults",2001,0.65517,25,1.77463193030057,3,"C",1,500
6331,"Females",2006,1,"Adults",2007,0.58028,46,1.61841793178885,3,"D",1,400
4186,"Males",1999,2,"Adults",2001,0.60488,26,1.2883752171533,3,"E",0,100
7256,"Males",2009,0,"Lambs",2009,0.25345,44,1.83790167107694,3,"F",1,200
6176,"Females",2005,4,"Adults",2009,0.4184,47,1.48332549183807,3,"G",1,100
7121,"Females",2009,0,"Lambs",2009,0.23816,42,1.93116025627507,3,"H",0,300
2360,"Females",1990,11,"Adults",2001,0.93462,28,1.55091673612396,93,"B",0,200
7201,"Females",2009,3,"Adults",2012,0.78657,20,1.45383130854386,3,"D",1,600
7332,"Males",2009,0,"Lambs",2009,0.15717,44,1.58012723662612,3,"E",0,1200
6703,"Males",2007,0,"Lambs",2007,0.25653,47,1.67423052188309,3,"G",0,1000
4419,"Males",2000,1,"Adults",2001,0.66717,25,1.60238537818142,93,"C",0,0
7232,"Females",2009,3,"Adults",2012,0.89686,20,1.74376823410914,3,"B",1,100
5501,"Females",2003,4,"Adults",2007,0.67882,44,1.70123786777667,3,"C",1,100
5086,"Males",2002,5,"Adults",2007,0.46669,44,1.93189203600525,3,"E",1,0
6689,"Males",2007,2,"Adults",2009,0.91171,46,1.71971062372439,3,"F",1,0
6124,"Females",2005,4,"Adults",2009,0.72403,46,1.73861380371935,3,"G",1,0
6958,"Females",2008,1,"Adults",2009,0.90785,45,1.27504356717569,3,"H",1,100
3662,"Females",1997,10,"Adults",2007,0.29027,43,1.69278874493265,93,"D",1,0
3303,"Females",1995,6,"Adults",2001,0.62299,28,1.91911190089492,3,"B",1,200
4626,"Males",2001,0,"Lambs",2001,0.24439,23,1.73222731025646,3,"C",0,1000
5506,"Females",2003,4,"Adults",2007,0.45052,44,1.23777724606612,3,"D",1,0
4454,"Females",2000,7,"Adults",2007,0.93589,43,1.94399940106904,3,"E",1,0
6586,"Males",2007,0,"Lambs",2007,0.57781,49,1.47331817505307,3,"G",0,1200
2868,"Females",1993,8,"Adults",2001,0.9148,28,1.44844482629012,93,"E",1,0
5242,"Females",2002,7,"Adults",2009,0.98837,48,2.27924822113797,3,"B",1,0
6979,"Females",2008,1,"Adults",2009,0.92652,45,2.12654851792037,3,"C",1,0
4631,"Females",2001,6,"Adults",2007,0.3995,43,1.77839969709995,3,"D",1,0
5531,"Females",2003,4,"Adults",2007,0.28799,44,1.99602251559278,3,"E",1,0
7260,"Males",2009,0,"Lambs",2009,0.04159,44,1.50358381341843,3,"F",1,1000
7254,"Males",2009,0,"Lambs",2009,0.43192,44,1.84177993966636,3,"G",0,1000
6186,"Females",2005,4,"Adults",2009,0.68504,47,1.68416545502808,3,"H",1,0
4193,"Females",1999,8,"Adults",2007,0.65831,43,1.52211776180292,4,"C",1,0
7565,"Females",2010,2,"Adults",2012,0.53029,20,1.76429788679723,4,"D",1,600
6990,"Females",2008,4,"Adults",2012,0.43454,19,1.39284369550982,4,"E",1,0
5520,"Females",2003,4,"Adults",2007,0.3669,45,2.29121052098549,4,"B",1,0
4682,"Males",2001,0,"Lambs",2001,0.25202,24,1.96959160146213,4,"C",0,1700
2673,"Females",1992,9,"Adults",2001,0.728,28,1.39516403987347,4,"D",0,100
6451,"Males",2006,1,"Adults",2007,0.69838,46,1.81102002177928,4,"E",1,300
6386,"Females",2006,1,"Adults",2007,0.7071,46,1.51520576154197,4,"G",1,200
4472,"Females",2000,7,"Adults",2007,0.57351,43,1.49078097734115,93,"F",1,0
3268,"Females",1995,6,"Adults",2001,0.74837,28,1.585092415166,4,"B",1,0
6724,"Females",2007,5,"Adults",2012,1.03796,19,1.52182072332946,4,"D",1,100
7194,"Females",2009,0,"Lambs",2009,0.29491,43,1.75640104496029,4,"E",1,200
6682,"Females",2007,5,"Adults",2012,0.76499,19,1.48572060589612,4,"F",1,0
4347,"Females",2000,1,"Adults",2001,0.92678,25,1.63435404178943,4,"G",0,800
6678,"Females",2007,0,"Lambs",2007,0.22642,47,1.58493559950853,93,"H",1,200
6089,"Females",2005,2,"Adults",2007,0.74787,46,1.72164109331037,93,"A",1,0
5495,"Females",2003,9,"Adults",2012,0.54293,19,1.47835407026721,4,"C",1,0
7144,"Females",2009,3,"Adults",2012,1.04716,20,1.37158493002135,4,"D",1,200
5501,"Females",2003,6,"Adults",2009,0.61919,47,1.76670584792737,4,"E",1,200
8240,"Females",2011,1,"Adults",2012,0.29404,21,1.85260590969491,93,"B",1,300
5069,"Males",2002,5,"Adults",2007,0.74198,44,1.63856206898428,4,"B",1,500
8733,"Males",2012,0,"Lambs",2012,0.42462,22,1.58222443301603,4,"C",1,200
6625,"Females",2007,0,"Lambs",2007,0.12596,48,1.66612308494553,4,"D",1,200
8782,"Males",2012,0,"Lambs",2012,0.25338,21,1.37227726619332,4,"G",1,200
6892,"Females",2008,1,"Adults",2009,1.54485,44,1.98467432571674,4,"B",1,300
6979,"Females",2008,4,"Adults",2012,0.78934,20,1.73790005567764,4,"G",1,0
4256,"Females",1999,2,"Adults",2001,0.47742,27,1.6057149894943,93,"G",0,300
4468,"Females",2000,7,"Adults",2007,0.62416,43,1.72086209246812,5,"B",1,100
6567,"Males",2007,0,"Lambs",2007,0.44312,49,1.46413077464183,5,"C",1,600
2963,"Females",1993,8,"Adults",2001,0.55743,28,2.31656941052629,5,"D",0,0
4672,"Males",2001,0,"Lambs",2001,0.14306,24,2.12295329690494,5,"E",0,600
4258,"Females",1999,2,"Adults",2001,0.74188,27,1.68554134333641,5,"H",1,0
6196,"Females",2005,7,"Adults",2012,0.55816,19,1.31419170828683,93,"H",1,200
3431,"Females",1996,11,"Adults",2007,0.64872,43,1.28399066283981,5,"C",1,100
6409,"Females",2006,1,"Adults",2007,0.93113,46,1.86832378617317,5,"D",1,200
6834,"Females",2008,1,"Adults",2009,0.88324,44,2.00176163168965,5,"E",1,200
4220,"Females",1999,2,"Adults",2001,0.67371,27,1.71235743971824,5,"F",0,0
4159,"Males",1999,2,"Adults",2001,0.69926,26,1.78740002026099,5,"G",0,300
6831,"Females",2008,1,"Adults",2009,0.45028,44,1.55183280484565,5,"H",1,200
7239,"Males",2009,0,"Lambs",2009,0.24517,43,1.90214768320178,5,"B",0,1300
7046,"Females",2008,1,"Adults",2009,1.00484,45,1.61054864173491,5,"D",1,200
8798,"Females",2012,0,"Lambs",2012,0.40216,21,1.71956359461851,5,"F",1,100
5100,"Females",2002,5,"Adults",2007,0.76192,44,1.65751376758398,5,"G",1,0
7173,"Males",2009,3,"Adults",2012,0.48287,20,1.3752917164411,5,"H",1,400
5144,"Females",2002,7,"Adults",2009,0.47658,48,1.56935116436578,5,"B",1,0
6678,"Females",2007,5,"Adults",2012,0.5466,19,1.61206350612074,5,"C",1,0
3198,"Females",1995,6,"Adults",2001,0.75507,28,2.28970195013206,5,"G",1,0
4563,"Females",2001,0,"Lambs",2001,0.24185,22,1.8184120604749,5,"H",0,3200
8724,"Males",2012,0,"Lambs",2012,0.36921,22,2.10583187532763,94,"C",1,200
5107,"Females",2002,7,"Adults",2009,0.68129,48,1.76255252412617,5,"B",1,0
4604,"Females",2001,0,"Lambs",2001,0.16134,23,1.28633709593848,5,"C",0,1600
4659,"Males",2001,0,"Lambs",2001,0.25748,24,1.86208403967703,5,"E",0,2900
6930,"Females",2008,1,"Adults",2009,1.15522,45,1.68424391938078,5,"F",1,0
6986,"Females",2008,4,"Adults",2012,0.4684,20,1.49897618083238,5,"G",1,0
6938,"Females",2008,4,"Adults",2012,0.62882,19,1.49028619858282,5,"H",1,0
4190,"Females",1999,10,"Adults",2009,0.59643,48,2.10516536362912,94,"D",1,100
3291,"Females",1995,6,"Adults",2001,0.4379,28,2.4918229347666,5,"B",1,200
5133,"Females",2002,7,"Adults",2009,0.76238,48,2.14713701730651,5,"C",1,200
6136,"Females",2005,2,"Adults",2007,0.64087,46,1.40056426083998,5,"D",1,0
6990,"Females",2008,1,"Adults",2009,0.76892,45,1.8661200848944,5,"F",1,600
4375,"Males",2000,1,"Adults",2001,0.64853,25,1.40634182839853,5,"H",0,600
7117,"Males",2009,0,"Lambs",2009,0.30416,42,1.35387519008518,6,"B",0,700
5535,"Females",2003,6,"Adults",2009,0.64295,47,1.00574552528579,6,"C",1,100
4595,"Females",2001,0,"Lambs",2001,0.17505,23,1.7091898746636,6,"D",0,400
6859,"Females",2008,1,"Adults",2009,0.62293,44,1.66074814017176,6,"E",1,100
3564,"Females",1996,11,"Adults",2007,0.80903,43,1.90525096863599,6,"F",1,800
4469,"Females",2000,1,"Adults",2001,1.09872,26,1.72143741613785,6,"G",0,0
3771,"Females",1997,4,"Adults",2001,0.62311,27,1.7551348418557,94,"E",1,200
4454,"Females",2000,1,"Adults",2001,1.36616,25,2.32895954555142,94,"F",1,100
7245,"Females",2009,0,"Lambs",2009,0.05766,43,1.91450992596114,6,"B",1,800
7574,"Females",2010,2,"Adults",2012,0.51531,21,1.88641823023789,6,"E",1,200
6525,"Females",2006,1,"Adults",2007,0.87662,46,1.72241315850388,6,"G",1,200
3260,"Females",1995,6,"Adults",2001,0.66919,28,1.80289909370693,94,"H",0,200
5107,"Females",2002,5,"Adults",2007,0.77177,44,1.47854420156094,6,"B",1,0
4644,"Males",2001,0,"Lambs",2001,0.16383,24,1.50194482596479,6,"C",0,1800
3692,"Females",1997,4,"Adults",2001,0.69072,27,1.5673367953511,6,"D",1,500
6679,"Females",2007,5,"Adults",2012,0.83569,19,1.52106956452694,6,"F",1,0
4661,"Males",2001,0,"Lambs",2001,0.03308,24,1.47238636259196,6,"G",0,1200
5490,"Females",2003,9,"Adults",2012,0.58247,19,1.84593571224926,94,"A",1,0
4465,"Females",2000,7,"Adults",2007,0.77911,43,1.74777673647204,94,"B",1,0
5455,"Females",2003,4,"Adults",2007,0.58714,44,1.78359985045936,6,"B",1,200
7328,"Males",2009,0,"Lambs",2009,0.03974,44,1.51331407063684,6,"D",0,0
4568,"Males",2001,0,"Lambs",2001,0.29949,22,1.50856298002795,6,"E",0,800
4168,"Males",1999,2,"Adults",2001,0.39761,26,1.909526347097,6,"F",0,400
6155,"Females",2005,4,"Adults",2009,0.98708,46,1.72497984988359,6,"G",1,0
6338,"Females",2006,1,"Adults",2007,0.62562,46,2.00772481661982,94,"C",1,100
4395,"Females",2000,9,"Adults",2009,0.74692,48,1.97917450160954,94,"D",1,200
7178,"Males",2009,0,"Lambs",2009,0.26013,43,1.9171581319589,6,"B",0,2300
4418,"Males",2000,9,"Adults",2009,0.59063,48,1.45069342434641,6,"C",1,0
4356,"Males",2000,1,"Adults",2001,0.72837,25,1.66890510251247,6,"D",0,500
6155,"Females",2005,2,"Adults",2007,1.02874,45,1.48247476214276,6,"E",1,200
7157,"Females",2009,3,"Adults",2012,0.54905,20,1.54286813068964,6,"G",1,700
6588,"Females",2007,0,"Lambs",2007,0.06703,49,2.37887961542256,6,"B",1,200
6479,"Males",2006,6,"Adults",2012,0.54636,19,1.55211419002849,94,"F",1,500
7203,"Females",2009,0,"Lambs",2009,0.21129,43,1.93771184580091,6,"D",0,100
5076,"Females",2002,5,"Adults",2007,0.63563,44,1.81512634290792,6,"F",1,0
6719,"Males",2007,2,"Adults",2009,0.71171,46,2.21155860775581,6,"G",1,0
5103,"Females",2002,7,"Adults",2009,0.60465,48,1.9118923057511,94,"G",1,100
2640,"Females",1992,9,"Adults",2001,0.83662,28,1.7012298411041,7,"G",1,0
6599,"Males",2007,2,"Adults",2009,0.87932,45,2.21819082748273,7,"B",1,700
6718,"Females",2007,2,"Adults",2009,0.81595,46,1.74848700214143,7,"D",1,300
6414,"Females",2006,1,"Adults",2007,0.7146,46,1.71351635579948,7,"E",1,100
8812,"Females",2012,0,"Lambs",2012,0.58965,21,2.05036818603766,94,"H",1,200
2942,"Females",1993,8,"Adults",2001,1.05658,28,1.65080255972363,7,"B",0,0
7134,"Males",2009,0,"Lambs",2009,0.14955,42,1.50481128590919,7,"C",1,1500
7053,"Females",2008,1,"Adults",2009,1.00327,45,1.81764836691276,7,"F",1,500
5444,"Females",2003,6,"Adults",2009,0.50226,47,1.29387072654113,94,"A",1,100
5495,"Females",2003,6,"Adults",2009,0.53683,47,1.65407144668498,94,"B",1,0
6369,"Females",2006,1,"Adults",2007,1.05059,46,1.99320463777557,7,"B",1,400
7560,"Females",2010,2,"Adults",2012,0.69287,21,2.04245700577649,7,"E",1,500
5525,"Females",2003,4,"Adults",2007,0.43512,44,1.86324386069983,7,"F",1,400
6674,"Females",2007,2,"Adults",2009,0.42331,45,1.52373748585938,7,"H",1,400
4187,"Females",1999,2,"Adults",2001,0.81798,26,1.401539522971,94,"C",0,0
6168,"Females",2005,4,"Adults",2009,0.70317,46,1.86198136805127,7,"D",1,0
6694,"Males",2007,0,"Lambs",2007,0.12162,47,1.894007923541,7,"F",1,100
6834,"Females",2008,4,"Adults",2012,0.9987,20,1.68267994148816,7,"G",1,100
5084,"Females",2002,5,"Adults",2007,1.01745,44,1.31791504087024,7,"D",1,300
6869,"Males",2008,4,"Adults",2012,0.49184,20,1.66630710850625,7,"H",1,300
3659,"Females",1997,10,"Adults",2007,0.30678,43,1.86615884403656,94,"D",1,0
7195,"Males",2009,0,"Lambs",2009,0.71369,48,1.80109588996514,8,"B",0,600
7454,"Females",2010,2,"Adults",2012,0.69043,20,1.69630963327582,8,"C",1,100
7045,"Males",2008,1,"Adults",2009,0.64267,45,2.06054789000918,8,"D",1,400
6100,"Females",2005,2,"Adults",2007,0.52411,46,1.96822987734623,8,"E",1,700
7213,"Females",2009,0,"Lambs",2009,0.2885,43,1.6345475565309,94,"E",1,100
3490,"Females",1996,5,"Adults",2001,0.76132,28,1.45040522130751,8,"C",1,0
6770,"Females",2007,0,"Lambs",2007,0.11605,47,1.84853514754369,8,"D",1,1500
6721,"Males",2007,2,"Adults",2009,0.74571,46,1.74949309042301,8,"E",1,600
4510,"Females",2000,1,"Adults",2001,0.83564,26,2.08477521314399,8,"F",0,900
6147,"Females",2005,2,"Adults",2007,0.85251,45,1.46966644492972,8,"G",1,100
5137,"Females",2002,5,"Adults",2007,0.54034,44,1.36415872638056,8,"B",1,400
4650,"Males",2001,0,"Lambs",2001,0.79665,24,1.39678389645434,8,"D",0,1700
7252,"Females",2009,0,"Lambs",2009,0.18141,49,1.55467517384153,8,"F",1,600
4410,"Females",2000,9,"Adults",2009,0.57487,48,1.80751689974277,8,"G",1,0
7240,"Males",2009,0,"Lambs",2009,0.31451,43,1.81892776630629,94,"H",0,50
7241,"Females",2009,0,"Lambs",2009,0.07936,43,1.92689979394296,8,"B",1,300
3796,"Females",1997,10,"Adults",2007,0.40327,43,1.70474994577141,8,"E",1,0
7235,"Females",2009,0,"Lambs",2009,0.2871,43,2.01827971387277,8,"F",0,200
6406,"Females",2006,3,"Adults",2009,0.51428,46,2.07620308449625,8,"G",1,100
7492,"Males",2010,2,"Adults",2012,0.8074,21,2.3249648403611,94,"B",1,100
7118,"Females",2009,3,"Adults",2012,0.80655,20,1.60950639656871,94,"C",1,0
6695,"Females",2007,0,"Lambs",2007,0.05252,47,1.93448220968954,8,"B",1,700
6406,"Females",2006,6,"Adults",2012,0.61417,19,1.33320499980807,8,"C",1,100
7575,"Females",2010,2,"Adults",2012,0.62644,21,1.15290429323071,8,"F",1,0
7142,"Females",2009,0,"Lambs",2009,0.09097,42,1.67617125693414,8,"H",1,300
5626,"Females",2003,6,"Adults",2009,0.33177,47,2.11056483841607,94,"D",1,0
6711,"Males",2007,0,"Lambs",2007,0.22572,47,1.89809937678142,8,"B",0,500
6459,"Females",2006,3,"Adults",2009,0.66068,46,1.63487146067381,94,"E",1,0
5456,"Females",2003,4,"Adults",2007,0.34304,44,1.2623402126083,8,"D",1,0
8811,"Females",2012,0,"Lambs",2012,0.06049,21,2.0441087104974,8,"E",1,300
7199,"Males",2009,0,"Lambs",2009,0.24635,43,2.06841991859786,8,"F",1,200
7200,"Males",2009,0,"Lambs",2009,0.7479,43,1.75391701932799,8,"G",0,400
8710,"Males",2012,0,"Lambs",2012,0.31683,22,1.87086432238787,9,"A",1,300
4361,"Females",2000,1,"Adults",2001,0.62181,25,2.03677486963532,9,"B",1,100
6731,"Males",2007,0,"Lambs",2007,0.0881,47,1.77033204814253,9,"C",0,500
3250,"Females",1995,6,"Adults",2001,0.79402,28,2.00124919202318,9,"D",1,0
6171,"Females",2005,2,"Adults",2007,0.89993,45,1.83968507653572,9,"E",1,500
7154,"Males",2009,0,"Lambs",2009,0.2483,42,2.02249836101547,9,"F",0,1600
4611,"Females",2001,0,"Lambs",2001,0.09998,23,1.67430381399248,9,"H",0,500
2223,"Females",1990,11,"Adults",2001,0.95018,28,2.09335766747807,9,"B",0,300
5466,"Females",2003,4,"Adults",2007,0.43593,45,1.75518474474781,9,"D",1,100
5232,"Females",2002,7,"Adults",2009,0.34774,48,1.50933341889801,9,"E",0,50
6086,"Females",2005,2,"Adults",2007,0.57429,46,1.99214676802577,9,"G",1,100
6164,"Females",2005,2,"Adults",2007,1.03857,45,2.05009491389488,94,"F",1,100
6151,"Females",2005,7,"Adults",2012,0.59998,19,1.3524383701322,9,"B",1,100
4584,"Females",2001,0,"Lambs",2001,0.10301,22,1.64836262062795,9,"D",0,100
7256,"Males",2009,3,"Adults",2012,0.653,20,1.64094453470205,9,"F",1,200
4605,"Females",2001,0,"Lambs",2001,0.65447,23,1.53724612158687,9,"H",0,200
4240,"Females",1999,2,"Adults",2001,0.71173,27,1.80286989950283,9,"C",0,300
6625,"Females",2007,5,"Adults",2012,0.5117,19,1.67646464466452,9,"E",1,0
3473,"Females",1996,5,"Adults",2001,0.32899,28,1.67481263386658,9,"G",0,0
8751,"Females",2012,0,"Lambs",2012,0.15506,22,1.73802418468255,9,"C",1,0
2342,"Females",1990,11,"Adults",2001,0.78651,28,2.20278534015904,9,"D",1,200
5490,"Females",2003,4,"Adults",2007,0.85697,45,1.89739799596433,9,"E",1,0
7043,"Females",2008,1,"Adults",2009,0.70005,45,1.68832949115721,9,"G",1,200
4678,"Males",2001,0,"Lambs",2001,0.16519,24,2.11456633300379,94,"G",0,2700
4402,"Females",2000,1,"Adults",2001,0.87531,25,1.72385967372668,10,"B",0,200
4251,"Males",1999,2,"Adults",2001,0.80025,27,1.69906311665957,10,"C",0,100
7186,"Females",2009,0,"Lambs",2009,0.08978,44,2.21484230367094,10,"D",0,700
7048,"Males",2008,1,"Adults",2009,0.73654,45,1.90001740377541,10,"E",1,400
6730,"Females",2007,2,"Adults",2009,0.65966,46,1.59184627731365,10,"F",1,300
6939,"Females",2008,4,"Adults",2012,0.50267,20,2.04136090877004,94,"H",1,0
2829,"Females",1993,8,"Adults",2001,0.66075,28,1.66801824934273,94,"A",0,0
7542,"Females",2010,2,"Adults",2012,1.12042,21,1.52170177657987,10,"D",1,100
5505,"Females",2003,4,"Adults",2007,0.50558,44,1.78492072194076,10,"E",1,100
6687,"Males",2007,0,"Lambs",2007,0.08806,47,1.77602724119202,10,"F",0,1200
2787,"Females",1993,8,"Adults",2001,0.80793,28,1.77766954186627,94,"B",1,0
