"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","IgG_TC","IgPlateRef","RTL","qPCRPlate","qPCRRow","Survival","Strongyles"
8812,"Females",2012,0,"Lambs",2012,0.58965,21,2.05036818603766,94,"H",1,200
7134,"Males",2009,0,"Lambs",2009,0.14955,42,1.50481128590919,7,"C",1,1500
6694,"Males",2007,0,"Lambs",2007,0.12162,47,1.894007923541,7,"F",1,100
7195,"Males",2009,0,"Lambs",2009,0.71369,48,1.80109588996514,8,"B",0,600
7213,"Females",2009,0,"Lambs",2009,0.2885,43,1.6345475565309,94,"E",1,100
6770,"Females",2007,0,"Lambs",2007,0.11605,47,1.84853514754369,8,"D",1,1500
4650,"Males",2001,0,"Lambs",2001,0.79665,24,1.39678389645434,8,"D",0,1700
7252,"Females",2009,0,"Lambs",2009,0.18141,49,1.55467517384153,8,"F",1,600
7240,"Males",2009,0,"Lambs",2009,0.31451,43,1.81892776630629,94,"H",0,50
7241,"Females",2009,0,"Lambs",2009,0.07936,43,1.92689979394296,8,"B",1,300
7235,"Females",2009,0,"Lambs",2009,0.2871,43,2.01827971387277,8,"F",0,200
6695,"Females",2007,0,"Lambs",2007,0.05252,47,1.93448220968954,8,"B",1,700
7142,"Females",2009,0,"Lambs",2009,0.09097,42,1.67617125693414,8,"H",1,300
6711,"Males",2007,0,"Lambs",2007,0.22572,47,1.89809937678142,8,"B",0,500
8811,"Females",2012,0,"Lambs",2012,0.06049,21,2.0441087104974,8,"E",1,300
7199,"Males",2009,0,"Lambs",2009,0.24635,43,2.06841991859786,8,"F",1,200
7200,"Males",2009,0,"Lambs",2009,0.7479,43,1.75391701932799,8,"G",0,400
8710,"Males",2012,0,"Lambs",2012,0.31683,22,1.87086432238787,9,"A",1,300
6731,"Males",2007,0,"Lambs",2007,0.0881,47,1.77033204814253,9,"C",0,500
7154,"Males",2009,0,"Lambs",2009,0.2483,42,2.02249836101547,9,"F",0,1600
4611,"Females",2001,0,"Lambs",2001,0.09998,23,1.67430381399248,9,"H",0,500
4584,"Females",2001,0,"Lambs",2001,0.10301,22,1.64836262062795,9,"D",0,100
4605,"Females",2001,0,"Lambs",2001,0.65447,23,1.53724612158687,9,"H",0,200
8751,"Females",2012,0,"Lambs",2012,0.15506,22,1.73802418468255,9,"C",1,0
4678,"Males",2001,0,"Lambs",2001,0.16519,24,2.11456633300379,94,"G",0,2700
7186,"Females",2009,0,"Lambs",2009,0.08978,44,2.21484230367094,10,"D",0,700
6687,"Males",2007,0,"Lambs",2007,0.08806,47,1.77602724119202,10,"F",0,1200
7216,"Males",2009,0,"Lambs",2009,0.17234,43,1.86853856699018,10,"B",1,900
7120,"Females",2009,0,"Lambs",2009,0.3056,42,1.74792235211941,10,"C",0,0
4658,"Females",2001,0,"Lambs",2001,0.05262,24,1.57284465011414,10,"E",0,600
6645,"Males",2007,0,"Lambs",2007,0.1416,48,1.42417164462368,10,"F",0,100
4607,"Females",2001,0,"Lambs",2001,0.05118,23,1.95345154018388,10,"C",0,400
6718,"Females",2007,0,"Lambs",2007,0.26819,47,1.94584397972978,10,"D",1,100
4588,"Females",2001,0,"Lambs",2001,0.10718,22,1.68302518074804,10,"E",0,600
6705,"Males",2007,0,"Lambs",2007,0.31857,47,1.5240503548863,10,"C",0,1100
6682,"Females",2007,0,"Lambs",2007,0.18599,47,1.75338576970744,10,"F",1,700
6564,"Males",2007,0,"Lambs",2007,0.23468,49,2.02422948724847,94,"H",0,1600
6655,"Females",2007,0,"Lambs",2007,0.46817,48,2.41196487717791,10,"B",0,200
5265,"Males",2001,0,"Lambs",2001,0.15177,23,1.85519854844696,10,"G",0,100
6674,"Females",2007,0,"Lambs",2007,0.25742,48,1.8893958229277,11,"F",1,200
6630,"Males",2007,0,"Lambs",2007,0.46693,48,1.70431150092342,11,"E",0,100
4632,"Females",2001,0,"Lambs",2001,0.03364,23,2.41942077390879,94,"D",0,0
6611,"Females",2007,0,"Lambs",2007,1.07101,48,1.81289556723128,11,"C",0,500
7140,"Females",2009,0,"Lambs",2009,0.42036,42,2.01813076382528,11,"E",1,400
6683,"Females",2007,0,"Lambs",2007,0.35243,47,1.81868791241785,11,"G",1,200
4597,"Females",2001,0,"Lambs",2001,0.54145,23,1.63506952171967,12,"E",0,1800
6663,"Females",2007,0,"Lambs",2007,0.5552,48,1.72622114703661,12,"F",1,400
4655,"Males",2001,0,"Lambs",2001,0.10371,24,2.0115195329608,12,"G",0,200
4619,"Females",2001,0,"Lambs",2001,0.30419,23,2.11720883439239,95,"B",0,1500
6624,"Females",2007,0,"Lambs",2007,0.15732,48,1.78020048882642,12,"E",0,300
6725,"Females",2007,0,"Lambs",2007,0.07707,47,1.71154017351445,95,"E",1,300
7198,"Females",2009,0,"Lambs",2009,0.09541,43,1.69247758223144,12,"D",1,900
4664,"Males",2001,0,"Lambs",2001,0.05805,24,1.92416133262735,95,"F",0,500
4642,"Females",2001,0,"Lambs",2001,0.14477,24,2.93496773508279,96,"A",0,900
8800,"Females",2012,0,"Lambs",2012,0.23257,21,1.95578280010063,95,"A",1,400
7209,"Males",2009,0,"Lambs",2009,0.46021,43,1.79008411210953,12,"F",1,800
4646,"Females",2001,0,"Lambs",2001,0.04698,24,1.98030971207783,12,"F",0,100
4648,"Females",2001,0,"Lambs",2001,0.07264,24,1.88927589756518,13,"H",0,3100
4649,"Females",2001,0,"Lambs",2001,0.16458,24,1.85018702805024,13,"E",0,2000
4675,"Females",2001,0,"Lambs",2001,0.23055,24,1.57338337147944,95,"F",0,500
6762,"Females",2007,0,"Lambs",2007,0.07739,47,1.47511730458443,13,"C",0,300
6591,"Males",2007,0,"Lambs",2007,0.26389,49,1.65204512459772,13,"G",1,100
7158,"Males",2009,0,"Lambs",2009,0.1555,42,2.01693597379553,13,"H",1,100
6776,"Females",2007,0,"Lambs",2007,0.62571,46,2.15575841225175,13,"E",1,400
7169,"Males",2009,0,"Lambs",2009,0.00374,43,1.71357516911481,14,"B",0,600
4643,"Males",2001,0,"Lambs",2001,0.15085,24,1.95082489649468,14,"H",0,2800
4620,"Males",2001,0,"Lambs",2001,0.32891,23,1.60261505245505,14,"D",0,1300
7159,"Females",2009,0,"Lambs",2009,0.26055,43,1.86218399036069,14,"B",1,0
6713,"Females",2007,0,"Lambs",2007,0.35765,47,1.80732008721318,14,"B",1,100
4679,"Females",2001,0,"Lambs",2001,0.60244,24,1.61456479616558,14,"H",0,0
4662,"Males",2001,0,"Lambs",2001,0.13589,24,1.72687453505423,14,"D",0,5200
7176,"Females",2009,0,"Lambs",2009,0.31264,43,1.88580358026015,95,"G",0,200
6574,"Males",2007,0,"Lambs",2007,0.18531,49,2.03929703289823,15,"D",0,400
4596,"Males",2001,0,"Lambs",2001,0.39744,23,2.06935377821707,15,"E",0,600
7107,"Males",2009,0,"Lambs",2009,0.2764,42,1.6861287508691,95,"H",1,1600
6628,"Females",2007,0,"Lambs",2007,0.19901,48,1.97912377325401,15,"B",0,600
6693,"Males",2007,0,"Lambs",2007,0.1212,47,1.52213570568732,15,"C",1,400
6777,"Females",2007,0,"Lambs",2007,0.37392,47,1.97885145371574,95,"E",1,100
