"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","IgG_TC","IgPlateRef","RTL","qPCRPlate","qPCRRow","Survival"
4580,"Females",2001,0,"Lambs",2001,0.02407,22,1.79940799144187,2,"F",0
6587,"Females",2007,0,"Lambs",2007,0.28615,49,1.7229118922699,93,"H",0
6772,"Females",2007,0,"Lambs",2007,0.1835,47,2.25535520252107,3,"E",0
6615,"Females",2007,0,"Lambs",2007,0.90108,48,2.21767540012869,3,"G",1
7236,"Males",2009,0,"Lambs",2009,0.05152,43,2.2043642919021,3,"H",0
7256,"Males",2009,0,"Lambs",2009,0.25345,44,1.83790167107694,3,"F",1
7121,"Females",2009,0,"Lambs",2009,0.23816,42,1.93116025627507,3,"H",0
7332,"Males",2009,0,"Lambs",2009,0.15717,44,1.58012723662612,3,"E",0
6703,"Males",2007,0,"Lambs",2007,0.25653,47,1.67423052188309,3,"G",0
8744,"Females",2012,0,"Lambs",2012,0.47975,22,1.97292361124781,3,"D",1
4626,"Males",2001,0,"Lambs",2001,0.24439,23,1.73222731025646,3,"C",0
