"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","Strongyles","RTL","qPCRPlate","qPCRRow","Survival"
7216,"Males",2009,0,"Lambs",2009,900,1.86853856699018,10,"B",1
7120,"Females",2009,0,"Lambs",2009,0,1.74792235211941,10,"C",0
4658,"Females",2001,0,"Lambs",2001,600,1.57284465011414,10,"E",0
6645,"Males",2007,0,"Lambs",2007,100,1.42417164462368,10,"F",0
4607,"Females",2001,0,"Lambs",2001,400,1.95345154018388,10,"C",0
6718,"Females",2007,0,"Lambs",2007,100,1.94584397972978,10,"D",1
4588,"Females",2001,0,"Lambs",2001,600,1.68302518074804,10,"E",0
6705,"Males",2007,0,"Lambs",2007,1100,1.5240503548863,10,"C",0
6682,"Females",2007,0,"Lambs",2007,700,1.75338576970744,10,"F",1
6564,"Males",2007,0,"Lambs",2007,1600,2.02422948724847,94,"H",0
6655,"Females",2007,0,"Lambs",2007,200,2.41196487717791,10,"B",0
5265,"Males",2001,0,"Lambs",2001,100,1.85519854844696,10,"G",0
6674,"Females",2007,0,"Lambs",2007,200,1.8893958229277,11,"F",1
6630,"Males",2007,0,"Lambs",2007,100,1.70431150092342,11,"E",0
4632,"Females",2001,0,"Lambs",2001,0,2.41942077390879,94,"D",0
6611,"Females",2007,0,"Lambs",2007,500,1.81289556723128,11,"C",0
7140,"Females",2009,0,"Lambs",2009,400,2.01813076382528,11,"E",1
6683,"Females",2007,0,"Lambs",2007,200,1.81868791241785,11,"G",1
4597,"Females",2001,0,"Lambs",2001,1800,1.63506952171967,12,"E",0
6663,"Females",2007,0,"Lambs",2007,400,1.72622114703661,12,"F",1
4655,"Males",2001,0,"Lambs",2001,200,2.0115195329608,12,"G",0
4619,"Females",2001,0,"Lambs",2001,1500,2.11720883439239,95,"B",0
6624,"Females",2007,0,"Lambs",2007,300,1.78020048882642,12,"E",0
6725,"Females",2007,0,"Lambs",2007,300,1.71154017351445,95,"E",1
7198,"Females",2009,0,"Lambs",2009,900,1.69247758223144,12,"D",1
4664,"Males",2001,0,"Lambs",2001,500,1.92416133262735,95,"F",0
4642,"Females",2001,0,"Lambs",2001,900,2.93496773508279,96,"A",0
8800,"Females",2012,0,"Lambs",2012,400,1.95578280010063,95,"A",1
7209,"Males",2009,0,"Lambs",2009,800,1.79008411210953,12,"F",1
4646,"Females",2001,0,"Lambs",2001,100,1.98030971207783,12,"F",0
4648,"Females",2001,0,"Lambs",2001,3100,1.88927589756518,13,"H",0
4649,"Females",2001,0,"Lambs",2001,2000,1.85018702805024,13,"E",0
4675,"Females",2001,0,"Lambs",2001,500,1.57338337147944,95,"F",0
6762,"Females",2007,0,"Lambs",2007,300,1.47511730458443,13,"C",0
6591,"Males",2007,0,"Lambs",2007,100,1.65204512459772,13,"G",1
7158,"Males",2009,0,"Lambs",2009,100,2.01693597379553,13,"H",1
6776,"Females",2007,0,"Lambs",2007,400,2.15575841225175,13,"E",1
7169,"Males",2009,0,"Lambs",2009,600,1.71357516911481,14,"B",0
4643,"Males",2001,0,"Lambs",2001,2800,1.95082489649468,14,"H",0
4620,"Males",2001,0,"Lambs",2001,1300,1.60261505245505,14,"D",0
6706,"Males",2007,0,"Lambs",2007,400,1.63762817092584,95,"C",1
7159,"Females",2009,0,"Lambs",2009,0,1.86218399036069,14,"B",1
6713,"Females",2007,0,"Lambs",2007,100,1.80732008721318,14,"B",1
4679,"Females",2001,0,"Lambs",2001,0,1.61456479616558,14,"H",0
4662,"Males",2001,0,"Lambs",2001,5200,1.72687453505423,14,"D",0
